,Country or Area,Year,Unit,Quantity
45,Albania,2008,"Kilowatt-hours, million",93.05563
46,Albania,2007,"Kilowatt-hours, million",186.11126
47,Albania,2006,"Kilowatt-hours, million",116.388982
48,Albania,2005,"Kilowatt-hours, million",116.388982
49,Albania,2004,"Kilowatt-hours, million",176.666808
50,Albania,2003,"Kilowatt-hours, million",151.111232
51,Albania,2002,"Kilowatt-hours, million",151.111232
52,Albania,2001,"Kilowatt-hours, million",90.833406
53,Albania,2000,"Kilowatt-hours, million",116.388982
54,Albania,1999,"Kilowatt-hours, million",174.444584
55,Albania,1998,"Kilowatt-hours, million",178.889032
56,Albania,1997,"Kilowatt-hours, million",197.500158
57,Albania,1996,"Kilowatt-hours, million",248.333532
58,Albania,1995,"Kilowatt-hours, million",299.166906
59,Albania,1994,"Kilowatt-hours, million",563.056006
60,Albania,1993,"Kilowatt-hours, million",884.445152
61,Albania,1992,"Kilowatt-hours, million",1125.278678
62,Albania,1991,"Kilowatt-hours, million",1553.612354
63,Albania,1990,"Kilowatt-hours, million",2633.890996
64,Algeria,2020,"Kilowatt-hours, million",1838041.108487266
65,Algeria,2019,"Kilowatt-hours, million",1904649.051218022
66,Algeria,2018,"Kilowatt-hours, million",1992890.4832
67,Algeria,2017,"Kilowatt-hours, million",2050013.306676
68,Algeria,2016,"Kilowatt-hours, million",2050154.140955334
69,Algeria,2015,"Kilowatt-hours, million",2015347.6288879244
70,Algeria,2014,"Kilowatt-hours, million",2028393.7328247994
71,Algeria,2013,"Kilowatt-hours, million",1972631.211992596
72,Algeria,2012,"Kilowatt-hours, million",1979387.98489801
73,Algeria,2011,"Kilowatt-hours, million",2063023.75041768
74,Algeria,2010,"Kilowatt-hours, million",2096221.399198
75,Algeria,2009,"Kilowatt-hours, million",2168100.623368
76,Algeria,2008,"Kilowatt-hours, million",2196579.53504
77,Algeria,2007,"Kilowatt-hours, million",2179784.799382
78,Algeria,2006,"Kilowatt-hours, million",2116170.859602
79,Algeria,2005,"Kilowatt-hours, million",2101640.292422
80,Algeria,2004,"Kilowatt-hours, million",2003164.9360306668
81,Algeria,2003,"Kilowatt-hours, million",1918534.5908756119
82,Algeria,2002,"Kilowatt-hours, million",1898942.352208222
83,Algeria,2001,"Kilowatt-hours, million",1885818.17532
84,Algeria,2000,"Kilowatt-hours, million",1846809.81078
85,Algeria,1999,"Kilowatt-hours, million",1689123.017964
86,Algeria,1998,"Kilowatt-hours, million",1703744.696328
87,Algeria,1997,"Kilowatt-hours, million",1687843.850274
88,Algeria,1996,"Kilowatt-hours, million",1645539.649764
89,Algeria,1995,"Kilowatt-hours, million",1550623.46272
90,Algeria,1994,"Kilowatt-hours, million",1442753.93198
91,Algeria,1993,"Kilowatt-hours, million",1449473.3818
92,Algeria,1992,"Kilowatt-hours, million",1376864.99038
93,Algeria,1991,"Kilowatt-hours, million",1377514.9909
94,Algeria,1990,"Kilowatt-hours, million",1372312.20896
95,Angola,2021,"Kilowatt-hours, million",64913.385264
96,Angola,2020,"Kilowatt-hours, million",140194.5566
97,Angola,2019,"Kilowatt-hours, million",137896.80476179998
98,Angola,2018,"Kilowatt-hours, million",149884.5087964
99,Angola,2017,"Kilowatt-hours, million",160400.7255427
100,Angola,2016,"Kilowatt-hours, million",126441.76782
101,Angola,2015,"Kilowatt-hours, million",114004.84898158399
102,Angola,2014,"Kilowatt-hours, million",113143.52384808
103,Angola,2013,"Kilowatt-hours, million",116413.980353332
104,Angola,2012,"Kilowatt-hours, million",117356.99027440601
105,Angola,2011,"Kilowatt-hours, million",116102.48204857801
106,Angola,2010,"Kilowatt-hours, million",111641.75613944458
107,Angola,2009,"Kilowatt-hours, million",109279.8099996114
108,Angola,2008,"Kilowatt-hours, million",108740.64290522251
109,Angola,2007,"Kilowatt-hours, million",117171.48540378
110,Angola,2006,"Kilowatt-hours, million",101888.24817720002
111,Angola,2005,"Kilowatt-hours, million",92132.990373
112,Angola,2004,"Kilowatt-hours, million",84545.5676364
113,Angola,2003,"Kilowatt-hours, million",10555.563979722207
114,Angola,2002,"Kilowatt-hours, million",41377.810463333
115,Angola,2001,"Kilowatt-hours, million",29027.801
116,Angola,2000,"Kilowatt-hours, million",32511.13712
117,Angola,1999,"Kilowatt-hours, million",30083.3574
118,Angola,1998,"Kilowatt-hours, million",24594.46412
119,Angola,1997,"Kilowatt-hours, million",21955.57312
120,Angola,1996,"Kilowatt-hours, million",18472.237
121,Angola,1995,"Kilowatt-hours, million",13827.78884
122,Angola,1994,"Kilowatt-hours, million",13933.34448
123,Angola,1993,"Kilowatt-hours, million",15094.45652
124,Angola,1992,"Kilowatt-hours, million",15516.67908
125,Angola,1991,"Kilowatt-hours, million",15094.45652
126,Angola,1990,"Kilowatt-hours, million",14144.45576
127,Argentina,2021,"Kilowatt-hours, million",537919.9858911999
128,Argentina,2020,"Kilowatt-hours, million",451155.12592381204
129,Argentina,2019,"Kilowatt-hours, million",495068.173832
130,Argentina,2018,"Kilowatt-hours, million",469209.2087004
131,Argentina,2017,"Kilowatt-hours, million",444558.68898
132,Argentina,2016,"Kilowatt-hours, million",448408.69206
133,Argentina,2015,"Kilowatt-hours, million",428371.17603
134,Argentina,2014,"Kilowatt-hours, million",413476.71967
135,Argentina,2013,"Kilowatt-hours, million",418785.05725
136,Argentina,2012,"Kilowatt-hours, million",450256.193538
137,Argentina,2011,"Kilowatt-hours, million",459325.36746
138,Argentina,2010,"Kilowatt-hours, million",465482.872386
139,Argentina,2009,"Kilowatt-hours, million",488957.057832
140,Argentina,2008,"Kilowatt-hours, million",514068.744588
141,Argentina,2007,"Kilowatt-hours, million",511183.464502
142,Argentina,2006,"Kilowatt-hours, million",528723.200756
143,Argentina,2005,"Kilowatt-hours, million",522450.140182
144,Argentina,2004,"Kilowatt-hours, million",536269.595682
145,Argentina,2003,"Kilowatt-hours, million",473150.37852
146,Argentina,2002,"Kilowatt-hours, million",423896.17245
147,Argentina,2001,"Kilowatt-hours, million",438933.962258
148,Argentina,2000,"Kilowatt-hours, million",443729.243872
149,Argentina,1999,"Kilowatt-hours, million",422324.504526
150,Argentina,1998,"Kilowatt-hours, million",362263.067588
151,Argentina,1997,"Kilowatt-hours, million",350266.94688
152,Argentina,1996,"Kilowatt-hours, million",333699.433626
153,Argentina,1995,"Kilowatt-hours, million",306121.911564
154,Argentina,1994,"Kilowatt-hours, million",247117.975472
155,Argentina,1993,"Kilowatt-hours, million",238674.079828
156,Argentina,1992,"Kilowatt-hours, million",279790.779388
157,Argentina,1991,"Kilowatt-hours, million",276547.165682
158,Argentina,1990,"Kilowatt-hours, million",255278.537556
159,Australia,2021,"Kilowatt-hours, million",1585575.4390148919
160,Australia,2020,"Kilowatt-hours, million",1682047.411192408
161,Australia,2019,"Kilowatt-hours, million",1573023.458695538
162,Australia,2018,"Kilowatt-hours, million",1348153.409355198
163,Australia,2017,"Kilowatt-hours, million",1184056.949744802
164,Australia,2016,"Kilowatt-hours, million",925951.990761
165,Australia,2015,"Kilowatt-hours, million",778068.7993989859
166,Australia,2014,"Kilowatt-hours, million",734329.9605190541
167,Australia,2013,"Kilowatt-hours, million",716193.1960096541
168,Australia,2012,"Kilowatt-hours, million",608096.318698888
169,Australia,2011,"Kilowatt-hours, million",629427.581874996
170,Australia,2010,"Kilowatt-hours, million",591700.024192974
171,Australia,2009,"Kilowatt-hours, million",555422.03878172
172,Australia,2008,"Kilowatt-hours, million",529157.879159298
173,Australia,2007,"Kilowatt-hours, million",508211.442957718
174,Australia,2006,"Kilowatt-hours, million",478518.92281483195
175,Australia,2005,"Kilowatt-hours, million",417310.46634810604
176,Australia,2004,"Kilowatt-hours, million",397929.213620894
177,Australia,2003,"Kilowatt-hours, million",395972.37788876
178,Australia,2002,"Kilowatt-hours, million",408222.66407787
179,Australia,2001,"Kilowatt-hours, million",394242.2520602159
180,Australia,2000,"Kilowatt-hours, million",385998.77713210805
181,Australia,1999,"Kilowatt-hours, million",370286.2962288
182,Australia,1998,"Kilowatt-hours, million",357587.692736592
183,Australia,1997,"Kilowatt-hours, million",344837.81642558804
184,Australia,1996,"Kilowatt-hours, million",348303.756698338
185,Australia,1995,"Kilowatt-hours, million",342246.23657454795
186,Australia,1994,"Kilowatt-hours, million",308587.059091672
187,Australia,1993,"Kilowatt-hours, million",289084.61265639396
188,Australia,1992,"Kilowatt-hours, million",271415.173798632
189,Australia,1991,"Kilowatt-hours, million",253431.05413356997
190,Australia,1990,"Kilowatt-hours, million",246062.62851661202
191,Austria,2021,"Kilowatt-hours, million",7324.329748348001
192,Austria,2020,"Kilowatt-hours, million",8911.067128848
193,Austria,2019,"Kilowatt-hours, million",10838.540337492
194,Austria,2018,"Kilowatt-hours, million",12073.453825422
195,Austria,2017,"Kilowatt-hours, million",14448.974892504
196,Austria,2016,"Kilowatt-hours, million",13564.733074
197,Austria,2015,"Kilowatt-hours, million",14378.067058
198,Austria,2014,"Kilowatt-hours, million",15020.289794
199,Austria,2013,"Kilowatt-hours, million",16378.901992
200,Austria,2012,"Kilowatt-hours, million",20119.182762
201,Austria,2011,"Kilowatt-hours, million",18781.126136
202,Austria,2010,"Kilowatt-hours, million",19065.015252
203,Austria,2009,"Kilowatt-hours, million",18338.625782
204,Austria,2008,"Kilowatt-hours, million",16924.735762
205,Austria,2007,"Kilowatt-hours, million",20318.627366
206,Austria,2006,"Kilowatt-hours, million",20009.73823
207,Austria,2005,"Kilowatt-hours, million",18086.403358
208,Austria,2004,"Kilowatt-hours, million",22080.850998
209,Austria,2003,"Kilowatt-hours, million",22511.406898
210,Austria,2002,"Kilowatt-hours, million",21621.961742
211,Austria,2001,"Kilowatt-hours, million",20142.793892
212,Austria,2000,"Kilowatt-hours, million",20822.794436
213,Austria,1999,"Kilowatt-hours, million",20218.905064
214,Austria,1998,"Kilowatt-hours, million",18302.514642
215,Austria,1997,"Kilowatt-hours, million",16689.735574
216,Austria,1996,"Kilowatt-hours, million",17428.902832
217,Austria,1995,"Kilowatt-hours, million",17257.236028
218,Austria,1994,"Kilowatt-hours, million",15829.734886
219,Austria,1993,"Kilowatt-hours, million",17268.347148
220,Austria,1992,"Kilowatt-hours, million",16955.846898
221,Austria,1991,"Kilowatt-hours, million",15755.56816
222,Austria,1990,"Kilowatt-hours, million",15155.012124
223,Azerbaijan,2021,"Kilowatt-hours, million",353474.8383352
224,Azerbaijan,2020,"Kilowatt-hours, million",393092.56447380007
225,Azerbaijan,2019,"Kilowatt-hours, million",374110.480954812
226,Azerbaijan,2018,"Kilowatt-hours, million",319338.5332484
227,Azerbaijan,2017,"Kilowatt-hours, million",300150.4067868001
228,Azerbaijan,2016,"Kilowatt-hours, million",308286.774407
229,Azerbaijan,2015,"Kilowatt-hours, million",306112.49488980003
230,Azerbaijan,2014,"Kilowatt-hours, million",310521.9428618
231,Azerbaijan,2013,"Kilowatt-hours, million",306372.63398680004
232,Azerbaijan,2012,"Kilowatt-hours, million",290736.899256
233,Azerbaijan,2011,"Kilowatt-hours, million",279152.167766
234,Azerbaijan,2010,"Kilowatt-hours, million",285489.672836
235,Azerbaijan,2009,"Kilowatt-hours, million",255233.259742
236,Azerbaijan,2008,"Kilowatt-hours, million",253086.39691340004
237,Azerbaijan,2007,"Kilowatt-hours, million",182251.61802340002
238,Azerbaijan,2006,"Kilowatt-hours, million",98369.52314
239,Azerbaijan,2005,"Kilowatt-hours, million",62128.660814
240,Azerbaijan,2004,"Kilowatt-hours, million",54140.32109
241,Azerbaijan,2003,"Kilowatt-hours, million",55581.98891
242,Azerbaijan,2002,"Kilowatt-hours, million",60979.493228
243,Azerbaijan,2001,"Kilowatt-hours, million",61545.327014
244,Azerbaijan,2000,"Kilowatt-hours, million",61153.104478
245,Azerbaijan,1999,"Kilowatt-hours, million",65000.885334
246,Azerbaijan,1998,"Kilowatt-hours, million",60559.215114
247,Azerbaijan,1997,"Kilowatt-hours, million",62455.327742
248,Azerbaijan,1996,"Kilowatt-hours, million",66027.275044
249,Azerbaijan,1995,"Kilowatt-hours, million",69577.555662
250,Azerbaijan,1994,"Kilowatt-hours, million",66802.275664
251,Azerbaijan,1993,"Kilowatt-hours, million",71263.668122
252,Azerbaijan,1992,"Kilowatt-hours, million",82437.288172
253,Bahrain,2021,"Kilowatt-hours, million",276560.499026
254,Bahrain,2020,"Kilowatt-hours, million",272515.773568
255,Bahrain,2019,"Kilowatt-hours, million",272069.6621
256,Bahrain,2018,"Kilowatt-hours, million",230427.128786
257,Bahrain,2017,"Kilowatt-hours, million",225482.12483
258,Bahrain,2016,"Kilowatt-hours, million",216949.340226
259,Bahrain,2015,"Kilowatt-hours, million",223752.95678
260,Bahrain,2014,"Kilowatt-hours, million",216706.006698
261,Bahrain,2013,"Kilowatt-hours, million",197314.324518
262,Bahrain,2012,"Kilowatt-hours, million",170041.524922
263,Bahrain,2011,"Kilowatt-hours, million",162478.046649
264,Bahrain,2010,"Kilowatt-hours, million",165248.95581017
265,Bahrain,2009,"Kilowatt-hours, million",163911.94918501002
266,Bahrain,2008,"Kilowatt-hours, million",157017.7922808
267,Bahrain,2007,"Kilowatt-hours, million",147983.19116423602
268,Bahrain,2006,"Kilowatt-hours, million",114967.771696366
269,Bahrain,2005,"Kilowatt-hours, million",109128.98758089801
270,Bahrain,2004,"Kilowatt-hours, million",105262.66782117801
271,Bahrain,2003,"Kilowatt-hours, million",102277.636266488
272,Bahrain,2002,"Kilowatt-hours, million",100252.74547991
273,Bahrain,2001,"Kilowatt-hours, million",97676.052029668
274,Bahrain,2000,"Kilowatt-hours, million",126957.04601
275,Bahrain,1999,"Kilowatt-hours, million",124723.988668
276,Bahrain,1998,"Kilowatt-hours, million",120579.540908
277,Bahrain,1997,"Kilowatt-hours, million",115210.369946
278,Bahrain,1996,"Kilowatt-hours, million",110677.310764
279,Bahrain,1995,"Kilowatt-hours, million",108970.92051
280,Bahrain,1994,"Kilowatt-hours, million",104186.19446
281,Bahrain,1993,"Kilowatt-hours, million",106211.19608
282,Bahrain,1992,"Kilowatt-hours, million",89008.40454
283,Bahrain,1991,"Kilowatt-hours, million",88577.84864
284,Bahrain,1990,"Kilowatt-hours, million",89347.2937
285,Bangladesh,2021,"Kilowatt-hours, million",280112.471034242
286,Bangladesh,2020,"Kilowatt-hours, million",275422.67283796205
287,Bangladesh,2019,"Kilowatt-hours, million",299385.528674898
288,Bangladesh,2018,"Kilowatt-hours, million",297318.39525535924
289,Bangladesh,2017,"Kilowatt-hours, million",297485.112611233
290,Bangladesh,2016,"Kilowatt-hours, million",298719.5971296532
291,Bangladesh,2015,"Kilowatt-hours, million",273834.9750319714
292,Bangladesh,2014,"Kilowatt-hours, million",251295.478814
293,Bangladesh,2013,"Kilowatt-hours, million",244999.362666
294,Bangladesh,2012,"Kilowatt-hours, million",227206.570654
295,Bangladesh,2011,"Kilowatt-hours, million",216432.950924
296,Bangladesh,2010,"Kilowatt-hours, million",214883.227462
297,Bangladesh,2009,"Kilowatt-hours, million",198034.325094
298,Bangladesh,2008,"Kilowatt-hours, million",182012.923388
299,Bangladesh,2007,"Kilowatt-hours, million",170315.136252
300,Bangladesh,2006,"Kilowatt-hours, million",159560.960982
301,Bangladesh,2005,"Kilowatt-hours, million",139602.88946
302,Bangladesh,2004,"Kilowatt-hours, million",130379.27097
303,Bangladesh,2003,"Kilowatt-hours, million",120791.485522
304,Bangladesh,2002,"Kilowatt-hours, million",112293.423168
305,Bangladesh,2001,"Kilowatt-hours, million",106737.863168
306,Bangladesh,2000,"Kilowatt-hours, million",95320.076256
307,Bangladesh,1999,"Kilowatt-hours, million",88187.292772
308,Bangladesh,1998,"Kilowatt-hours, million",80885.064708
309,Bangladesh,1997,"Kilowatt-hours, million",74893.948804
310,Bangladesh,1996,"Kilowatt-hours, million",76211.449858
311,Bangladesh,1995,"Kilowatt-hours, million",73571.447746
312,Bangladesh,1994,"Kilowatt-hours, million",67953.943252
313,Bangladesh,1993,"Kilowatt-hours, million",61732.271608
314,Bangladesh,1992,"Kilowatt-hours, million",57221.712444
315,Bangladesh,1991,"Kilowatt-hours, million",52461.15308
316,Bangladesh,1990,"Kilowatt-hours, million",44045.86857
317,Barbados,2021,"Kilowatt-hours, million",166.6668
318,Barbados,2020,"Kilowatt-hours, million",162.84179694
319,Barbados,2019,"Kilowatt-hours, million",345.269442882
320,Barbados,2018,"Kilowatt-hours, million",388.28168284732004
321,Barbados,2017,"Kilowatt-hours, million",360.90798317060006
322,Barbados,2016,"Kilowatt-hours, million",381.33688006925996
323,Barbados,2015,"Kilowatt-hours, million",410.08027806396
324,Barbados,2014,"Kilowatt-hours, million",392.26975548222003
325,Barbados,2013,"Kilowatt-hours, million",258.27520662
326,Barbados,2012,"Kilowatt-hours, million",220.44462080000002
327,Barbados,2011,"Kilowatt-hours, million",192.52515402
328,Barbados,2010,"Kilowatt-hours, million",188.41126184
329,Barbados,2009,"Kilowatt-hours, million",190.88348603999998
330,Barbados,2008,"Kilowatt-hours, million",197.48349132
331,Barbados,2007,"Kilowatt-hours, million",212.81405913999998
332,Barbados,2006,"Kilowatt-hours, million",222.28351116
333,Barbados,2005,"Kilowatt-hours, million",186.46126028
334,Barbados,2004,"Kilowatt-hours, million",184.91987015799998
335,Barbados,2003,"Kilowatt-hours, million",179.90569947999998
336,Barbados,2002,"Kilowatt-hours, million",168.23069013999998
337,Barbados,2001,"Kilowatt-hours, million",175.65847386000002
338,Barbados,2000,"Kilowatt-hours, million",212.21961422
339,Barbados,1999,"Kilowatt-hours, million",247.90853166
340,Barbados,1998,"Kilowatt-hours, million",183.28070217999996
341,Barbados,1997,"Kilowatt-hours, million",202.57238428
342,Barbados,1996,"Kilowatt-hours, million",173.63347224
343,Barbados,1995,"Kilowatt-hours, million",183.28070217999996
344,Barbados,1994,"Kilowatt-hours, million",212.21961422
345,Barbados,1993,"Kilowatt-hours, million",212.21683644
346,Barbados,1992,"Kilowatt-hours, million",202.57238428
347,Barbados,1991,"Kilowatt-hours, million",250.80297842
348,Barbados,1990,"Kilowatt-hours, million",289.39189818
349,Belarus,2020,"Kilowatt-hours, million",1629.16797
350,Belarus,2019,"Kilowatt-hours, million",1653.334656
351,Belarus,2018,"Kilowatt-hours, million",1652.223544
352,Belarus,2017,"Kilowatt-hours, million",1609.167954
353,Belarus,2016,"Kilowatt-hours, million",1802.223664
354,Belarus,2015,"Kilowatt-hours, million",1888.057066
355,Belarus,2014,"Kilowatt-hours, million",1802.223664
356,Belarus,2013,"Kilowatt-hours, million",2038.334964
357,Belarus,2012,"Kilowatt-hours, million",1813.057006
358,Belarus,2011,"Kilowatt-hours, million",1888.057066
359,Belarus,2010,"Kilowatt-hours, million",1738.056946
360,Belarus,2009,"Kilowatt-hours, million",1770.279194
361,Belarus,2008,"Kilowatt-hours, million",1738.056946
362,Belarus,2007,"Kilowatt-hours, million",1759.445852
363,Belarus,2006,"Kilowatt-hours, million",1984.72381
364,Belarus,2005,"Kilowatt-hours, million",2102.77946
365,Belarus,2004,"Kilowatt-hours, million",2263.612922
366,Belarus,2003,"Kilowatt-hours, million",2349.446324
367,Belarus,2002,"Kilowatt-hours, million",2263.612922
368,Belarus,2001,"Kilowatt-hours, million",2370.83523
369,Belarus,2000,"Kilowatt-hours, million",2381.668572
370,Belarus,1999,"Kilowatt-hours, million",2370.83523
371,Belarus,1998,"Kilowatt-hours, million",2328.057418
372,Belarus,1997,"Kilowatt-hours, million",2274.446264
373,Belarus,1996,"Kilowatt-hours, million",2306.668512
374,Belarus,1995,"Kilowatt-hours, million",2467.501974
375,Belarus,1994,"Kilowatt-hours, million",2725.00218
376,Belarus,1993,"Kilowatt-hours, million",2692.779932
377,Belarus,1992,"Kilowatt-hours, million",2628.613214
378,Belgium,2021,"Kilowatt-hours, million",51.500041200000005
379,Belgium,2020,"Kilowatt-hours, million",58.666713599999994
380,Belgium,2019,"Kilowatt-hours, million",37.72225240000001
381,Belgium,2000,"Kilowatt-hours, million",26.666688
382,Belgium,1999,"Kilowatt-hours, million",4.722226
383,Belgium,1998,"Kilowatt-hours, million",0.0
384,Belgium,1997,"Kilowatt-hours, million",1.666668
385,Belgium,1996,"Kilowatt-hours, million",22.22224
386,Belgium,1995,"Kilowatt-hours, million",2.77778
387,Belgium,1994,"Kilowatt-hours, million",11.944454
388,Belgium,1993,"Kilowatt-hours, million",49.444484
389,Belgium,1992,"Kilowatt-hours, million",61.388938
390,Belgium,1991,"Kilowatt-hours, million",106.388974
391,Belgium,1990,"Kilowatt-hours, million",125.0001
392,Belize,2021,"Kilowatt-hours, million",8.888896
393,Belize,2020,"Kilowatt-hours, million",8.888896
394,Belize,2019,"Kilowatt-hours, million",11.34167574
395,Belize,2018,"Kilowatt-hours, million",14.277789199999999
396,Belize,2017,"Kilowatt-hours, million",17.472236199999998
397,Belize,2016,"Kilowatt-hours, million",22.555573600000002
398,Belize,2015,"Kilowatt-hours, million",22.555573600000002
399,Belize,2014,"Kilowatt-hours, million",21.694461799999996
400,Belize,2013,"Kilowatt-hours, million",15.1111232
401,Belize,2012,"Kilowatt-hours, million",47.18337108000001
402,Belize,2011,"Kilowatt-hours, million",55.31671091999999
403,Belize,2010,"Kilowatt-hours, million",77.77784
404,Bolivia (Plur. State of),2021,"Kilowatt-hours, million",177036.52496244002
405,Bolivia (Plur. State of),2020,"Kilowatt-hours, million",175584.69102319598
406,Bolivia (Plur. State of),2019,"Kilowatt-hours, million",182003.068380116
407,Bolivia (Plur. State of),2018,"Kilowatt-hours, million",208520.88237212796
408,Bolivia (Plur. State of),2017,"Kilowatt-hours, million",222082.70127713
409,Bolivia (Plur. State of),2016,"Kilowatt-hours, million",229279.627868
410,Bolivia (Plur. State of),2015,"Kilowatt-hours, million",239373.524832
411,Bolivia (Plur. State of),2014,"Kilowatt-hours, million",242811.30536
412,Bolivia (Plur. State of),2013,"Kilowatt-hours, million",230967.406996
413,Bolivia (Plur. State of),2012,"Kilowatt-hours, million",204939.330618
414,Bolivia (Plur. State of),2011,"Kilowatt-hours, million",179443.19911
415,Bolivia (Plur. State of),2010,"Kilowatt-hours, million",165665.21864318004
416,Bolivia (Plur. State of),2009,"Kilowatt-hours, million",145226.03006962
417,Bolivia (Plur. State of),2008,"Kilowatt-hours, million",172081.804332
418,Bolivia (Plur. State of),2007,"Kilowatt-hours, million",165623.74361
419,Bolivia (Plur. State of),2006,"Kilowatt-hours, million",156117.347116
420,Bolivia (Plur. State of),2005,"Kilowatt-hours, million",146230.394762
421,Bolivia (Plur. State of),2004,"Kilowatt-hours, million",135360.5845661588
422,Bolivia (Plur. State of),2003,"Kilowatt-hours, million",107678.05329126261
423,Bolivia (Plur. State of),2002,"Kilowatt-hours, million",93657.06308309053
424,Bolivia (Plur. State of),2001,"Kilowatt-hours, million",75192.45586363881
425,Bolivia (Plur. State of),2000,"Kilowatt-hours, million",59264.8494673972
426,Bolivia (Plur. State of),1999,"Kilowatt-hours, million",56984.693901885315
427,Bolivia (Plur. State of),1998,"Kilowatt-hours, million",59417.269756
428,Bolivia (Plur. State of),1997,"Kilowatt-hours, million",62073.382992
429,Bolivia (Plur. State of),1996,"Kilowatt-hours, million",77522.839796
430,Bolivia (Plur. State of),1995,"Kilowatt-hours, million",85395.90165
431,Bolivia (Plur. State of),1994,"Kilowatt-hours, million",90042.016478
432,Bolivia (Plur. State of),1993,"Kilowatt-hours, million",88151.737188
433,Bolivia (Plur. State of),1992,"Kilowatt-hours, million",90874.517144
434,Bolivia (Plur. State of),1991,"Kilowatt-hours, million",89593.405008
435,Bolivia (Plur. State of),1990,"Kilowatt-hours, million",86478.680294
436,Brazil,2020,"Kilowatt-hours, million",566676.286674
437,Brazil,2019,"Kilowatt-hours, million",543407.656948
438,Brazil,2018,"Kilowatt-hours, million",496432.897146
439,Brazil,2017,"Kilowatt-hours, million",487252.889802
440,Brazil,2016,"Kilowatt-hours, million",460333.423822
441,Brazil,2015,"Kilowatt-hours, million",426806.174778
442,Brazil,2014,"Kilowatt-hours, million",387513.921122
443,Brazil,2013,"Kilowatt-hours, million",342323.329414
444,Brazil,2012,"Kilowatt-hours, million",313009.417074
445,Brazil,2011,"Kilowatt-hours, million",292381.622794
446,Brazil,2010,"Kilowatt-hours, million",278706.056298
447,Brazil,2009,"Kilowatt-hours, million",256819.927678
448,Brazil,2008,"Kilowatt-hours, million",262354.37655
449,Brazil,2007,"Kilowatt-hours, million",220545.731992
450,Brazil,2006,"Kilowatt-hours, million",215131.005438
451,Brazil,2005,"Kilowatt-hours, million",215048.227594
452,Brazil,2004,"Kilowatt-hours, million",206200.442738
453,Brazil,2003,"Kilowatt-hours, million",191875.431278
454,Brazil,2002,"Kilowatt-hours, million",188631.539794
455,Brazil,2001,"Kilowatt-hours, million",170078.191618
456,Brazil,2000,"Kilowatt-hours, million",161390.684668
457,Brazil,1999,"Kilowatt-hours, million",144562.61565
458,Brazil,1998,"Kilowatt-hours, million",131075.938194
459,Brazil,1997,"Kilowatt-hours, million",119375.373278
460,Brazil,1996,"Kilowatt-hours, million",111247.033442
