,index,Source,Info Category,Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
11,51,IEA,Energy Project,Bayu-Undan field storage hub Timor-Leste phase 1,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021.0,2025.0,2027.0,,Planned,1.0,2.3,2.3,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub
12,500,IEA,Energy Project,"Santos Port Botany, New South Wales",Australia,"Santos, Qenos",CCU,2021.0,,,,Planned,,0.15,0.15,Hydrogen/ammonia,Use,
13,160,IEA,Energy Project,CTSCo Project,Australia,Glencore Carbon Transport and Storage Company (CTSCo),Full chain,2010.0,2022.0,2023.0,,Under construction,,0.11,0.11,Power and heat,Dedicated storage,
14,159,IEA,Energy Project,Cstore 1,Australia,"deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)",T&S,2021.0,,,,Planned,,1.5,7.5,CO2 T&S,Dedicated storage,Cstore 1
15,240,IEA,Energy Project,Gorgon CCS,Australia,"Chevron (47.3 per cent, operator), Shell (25 per cent), ExxonMobil (25 per cent), Osaka Gas (1.25 per cent), Tokyo Gas (1 per cent), Chubu Electric Power (0.417 per cent)",Full chain,2009.0,2009.0,2019.0,,Operational,,3.4,4.0,Natural gas processing,Dedicated storage,
16,52,IEA,Energy Project,Bayu-Undan field storage hub Timor-Leste phase 2,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021.0,2025.0,,,Planned,2.0,10.0,10.0,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub
17,567,IEA,Energy Project,Woodside Browse CCS Assessment,Australia,Woodside energy,Full chain,2022.0,,,,Planned,,,,Natural gas processing,Dedicated storage,
18,349,IEA,Energy Project,Longford gas plant,Australia,ExxonMobil,Capture,2022.0,,2025.0,,Planned,,2.0,2.0,Natural gas processing,Dedicated storage,SEA CCS
19,497,IEA,Energy Project,Santos Bonaparte Basin storage,Australia,"Santos Offshore Pty Ltd (40% and Operator), Chevron Australia Pty Ltd (30%) and SK E&S (30%) ",Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Santos Bonaparte Basin storage
20,376,IEA,Energy Project,Multi-user Burrup CCUS hub and network (Karratha CCS Project),Australia,"Woodside, bp, Shell, Chevron, MIMI (50/50 Mitsubishi and Mitsui)",T&S,2022.0,,,,Planned,,,,CO2 T&S,Dedicated storage,Burrup CCUS hub
21,317,IEA,Energy Project,J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),Australia,"J-Power, Sumitomo corporation",Full chain,2023.0,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
22,499,IEA,Energy Project,Santos Moomba storage Hub,Australia,"Santos, Beach Energy",Storage,2019.0,,,,Planned,,20.0,20.0,CO2 T&S,Dedicated storage,Santos Moomba storage Hub
23,9,IEA,Energy Project,Adbri Calix new Lime plant Kwinana,Australia,"Adbri, Calix, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,2021.0,,,,Planned,,,,Other industry,Dedicated storage,South West Hub Project
24,368,IEA,Energy Project,Mineral carbonation international Carbon Plant demonstrator,Australia,Mineral Carbonation International,CCU,2021.0,,2023.0,,Under construction,,0.3,0.3,Other industry,Use,
25,362,IEA,Energy Project,MEPAU Mid West CCUS hub,Australia,"Mitsui E&P Australia (MEPAU), JOGMEC",Full chain,2021.0,,2028.0,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Mid West CCUS hub
26,69,IEA,Energy Project,Bridgeport Energy Moonie CCUS Project,Australia,Bridgeport Energy Limited,T&S,2018.0,,2023.0,,Planned,,0.12,0.12,CO2 T&S,EOR,Bridgeport Energy Moonie CCUS Project
27,372,IEA,Energy Project,Moomba Carbon Capture and Storage,Australia,"Santos, Beach Energy",Full chain,2019.0,2021.0,2024.0,,Under construction,1.0,1.7,1.7,Natural gas processing,Dedicated storage,Moomba storage hub
28,364,IEA,Energy Project,Mid West Clean Energy Project,Australia,"Pilot Energy, Warrego Energy, APA group
",Full chain,2021.0,,2025.0,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
29,97,IEA,Energy Project,Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Austria,Holcim Group,Capture,2020.0,,2030.0,,Planned,1.0,0.7,0.7,Cement,Dedicated storage,
30,24,IEA,Energy Project,Aluminium Bahrain MHI capture,Bahrain,"Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)",Capture,2022.0,,,,Planned,,,,Other industry,Unknown/unspecified,
31,284,IEA,Energy Project,Holcim Oburg cement plant,Belgium,Holcim Group,Capture,2022.0,,,,Planned,,1.3,1.3,Cement,Dedicated storage,
32,213,IEA,Energy Project,Exxonmobil Antwerp Refinery CCS,Belgium,Exxonmobil,Capture,2021.0,2023.0,2030.0,,Planned,,,,Other fuel transformation,Unknown/unspecified,
33,260,IEA,Energy Project,H2BE,Belgium,"Equinor, Engie",Capture,2021.0,,2030.0,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
34,273,IEA,Energy Project,Heidelberg Materials CBR Antoing Cement Plant (Project Anthemis),Belgium,Heidelberg Materials,Capture,2023.0,,2028.0,,Planned,,0.8,0.8,Cement,Dedicated storage,
35,26,IEA,Energy Project,Antwerp@C CO2 Export Hub phase 1,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",Transport,2019.0,2023.0,2027.0,,Planned,1.0,2.5,2.5,CO2 transport,,Antwerp@C
36,61,IEA,Energy Project,Borealis Antwerp CCS,Belgium,Borealis,Capture,2021.0,2023.0,2030.0,,Planned,,,,Other industry,Unknown/unspecified,
37,233,IEA,Energy Project,Ghent Carbon Hub,Belgium,"Fluxys, ArcelorMittal, North Sea Port",Transport,2022.0,,2027.0,,Planned,,6.0,6.0,CO2 transport,,Connected to German Carbon Grid
38,30,IEA,Energy Project,Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,"ArcelorMittal, LanzaTech",CCU,2011.0,2015.0,2022.0,,Operational,,0.125,0.125,Iron and steel,Use,
39,304,IEA,Energy Project,Ineos Antwerp CCS,Belgium,INEOS,Capture,2021.0,2023.0,2030.0,,Planned,,,,Other industry,Unknown/unspecified,
40,27,IEA,Energy Project,Antwerp@C CO2 Export Hub phase 2,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",Transport,2019.0,2023.0,2030.0,,Planned,2.0,7.5,7.5,CO2 transport,,Antwerp@C
41,320,IEA,Energy Project,Kairos@C,Belgium,"Air Liquide, BASF",Capture,2021.0,2023.0,2025.0,,Planned,,1.42,1.42,Other industry,Dedicated storage,
42,560,IEA,Energy Project,WH2V therminal (Wilhelshaven green energy hub phase 1),"Belgium, Germany, Netherlands, Switzerland, United States",TES,Transport,2022.0,,2029.0,,Planned,,10.0,10.0,CO2 transport,,Connected to German Carbon Grid
43,219,IEA,Energy Project,Fluxys-Equinor Belgium-Norway Trunk Line ,"Belgium, Norway","Fluxys, Equinor",Transport,2022.0,2025.0,2030.0,,Planned,,20.0,40.0,CO2 transport,,Connected to German Carbon Grid
44,422,IEA,Energy Project,Petrobras Santos Basin pre-salt oilfield CCS,Brazil,Petrobas,Full chain,2011.0,,2013.0,,Operational,,3.0,8.7,Natural gas processing,EOR,
45,223,IEA,Energy Project,FS Lucas do Rio Verde ethanol biorefinery complex,Brazil,"Summit Agricultural group, Tapajós Participações S.A",Full chain,2021.0,,2030.0,,Planned,,,,Biofuels,Dedicated storage,
46,25,IEA,Energy Project,ANRAV-CCUS (Heidelberg Materials Devnya plant),Bulgaria,Heidelberg Materials,Full chain,2022.0,,2028.0,,Planned,,0.8,0.8,Cement,Dedicated storage,
47,242,IEA,Energy Project,Grande Prairie Net Zero Gateway (ALB),Canada, Keyera Corp.  and Entropy Inc. ,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,"Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)"
48,523,IEA,Energy Project,Suncor Edmonton Refinery (ALB) phase 2,Canada,"Suncor, Svante",Capture,2022.0,,,,Planned,2.0,,,Other fuel transformation,Unknown/unspecified,Atlas Carbon Sequestration Hub
49,534,IEA,Energy Project,The Grande Prairie CCS Hub (ALB),Canada, Enhance Energy Inc.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,The Grande Prairie CCS Hub (ALB)
50,228,IEA,Energy Project,Genesee CCS (ALB),Canada,"Capital Power, Enbridge",Capture,2021.0,2023.0,2027.0,,Planned,,3.0,3.0,Power and heat,Dedicated storage, Open Access Wabamun Carbon Hub
51,237,IEA,Energy Project,Glacier Gas Plant CCS Full capacity (ALB),Canada,"Advantage Entropy Inc. ABC Engineering, University of Regina",Full chain,2021.0,2023.0,2023.0,,Planned,1.0,0.2,0.2,Natural gas processing,Unknown/unspecified,
52,526,IEA,Energy Project,T6-Kanata CarbonHub (ALB),Canada,"Kanata Clean Power & Climate Technologies Corp, Vault 44.01, Carbonvert Inc., Frog Lake First Nations #121 & #122, and  Kehewin Cree Nation, Tribal Chiefs Ventures Inc.",Storage,2021.0,,,,Planned,,,,CO2 storage,Dedicated storage,T6-Kanata CarbonHub (ALB)
53,105,IEA,Energy Project,"CCUS hub at Strahcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",Canada,Strathcona Resources Ltd.,Capture,2022.0,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
54,222,IEA,Energy Project,Frog Lake Power Plant (ALB),Canada,"Net Power, Kanata Clean Power, WSP Canada, VAULT 44.01",Capture,2021.0,2023.0,2025.0,,Planned,,0.7,0.8,Power and heat,Dedicated storage,Kanata CarbonHub
55,148,IEA,Energy Project,Co-op Belle Plain Ethanol Complex,Canada,Federated Co-operatives (FCL) and Whitecap Resources Inc.,Capture,2021.0,,2024.0,,Planned,,0.25,0.25,Biofuels,EOR,Weyburn storage unit
56,149,IEA,Energy Project,Co-op Regina Refinery Complex,Canada,Federated Co-operatives (FCL) and Whitecap Resources Inc.,Capture,2021.0,,2026.0,,Planned,,0.25,0.25,Other fuel transformation,EOR,Weyburn storage unit
57,491,IEA,Energy Project,Rolling Hills Carbon Sequestration Hub (ALB),Canada, AltaGas Ltd. and Whitecap Resources Inc.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Rolling Hills Carbon Sequestration Hub (ALB)
58,130,IEA,Energy Project,Clive CO2-EOR (ACTL) (ALB),Canada,Enhance Energy,Storage,2011.0,2014.0,2020.0,,Operational,,0.44,1.12,CO2 storage,EOR,Alberta Carbon Trunk Line (ACTL)
59,489,IEA,Energy Project,Rocky Mountain Carbon Vault (ALB),Canada, Vault 44.01 Ltd.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Rocky Mountain Carbon Vault (ALB)
60,488,IEA,Energy Project,Rocky Mountain Carbon (ALB),Canada,"West Fraser, Torchlight Bioresources",Capture,2023.0,2025.0,2027.0,,Planned,,1.0,1.3,Other industry,Dedicated storage,"Rocky Mountain Carbon Vault (ALB), ADM"
61,487,IEA,Energy Project,Rockpoint and Inter Pipeline Carbon Sequestration Hub,Canada,Inter Pipeline and Rockpoint Gas Storage,T&S,2022.0,,,,Planned,,6.0,6.0,CO2 T&S,Dedicated storage,Rockpoint and Inter Pipeline Carbon Sequestration Hub
62,522,IEA,Energy Project,Suncor Edmonton Refinery (ALB) phase 1,Canada,"Suncor, ATCO",Capture,2021.0,2024.0,2028.0,,Planned,1.0,2.0,2.0,Other fuel transformation,Unknown/unspecified,Atlas Carbon Sequestration Hub
63,478,IEA,Energy Project,Ram River Carbon Sequestration Hub (ALB),Canada, Tidewater Midstream & Infrastructure Ltd.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Ram River Carbon Sequestration Hub (ALB)
64,506,IEA,Energy Project,Shepard Energy Centre (SEC) (ALB),Canada,Enmax Energy Corporation,Capture,2022.0,,,,Planned,,,,Power and heat,Unknown/unspecified,
65,187,IEA,Energy Project,East Calgary Region Carbon Sequestration Hub (ALB),Canada, Reconciliation Energy Transition Inc. (RETI),Storage,2022.0,,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB)
66,108,IEA,Energy Project,Central Alberta Hub (ALB),Canada," Wolf Carbon Solutions Inc., Whitecap Resources Inc., The First Nation Capital Investment Partnership (FNCIP), and Heart Lake First Nation",Storage,2022.0,,2024.0,,Planned,,2.0,3.0,CO2 storage,Dedicated storage,"Alberta Carbon TrunkLine (Transport), Central Alberta Hub (ALB) (Storage)"
67,432,IEA,Energy Project,Polaris CCS capture (ALB),Canada,Shell,Capture,2021.0,2023.0,2025.0,,Planned,1.0,0.75,0.75,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub
68,196,IEA,Energy Project,Edmonton Blue Hydrogen plant (ALB) (Shell Polaris),Canada,"Mitsubishi Coporation, Shell Canada",Capture,2021.0,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Polaris CCS transport and storage hub
69,455,IEA,Energy Project,Project Clear Horizon (ALB),Canada, City of Medicine Hat,Full chain,2022.0,,,,Planned,,,,Power and heat,Unknown/unspecified,Project Clear Horizon (ALB)
70,212,IEA,Energy Project,Exshaw Cement Carbon Capture and Bow Valley Decarbonization (ALB),Canada,Lafarge Canada,Capture,2022.0,,,,Planned,,,,Cement,Unknown/unspecified,Bow River Hub (ALB)
71,183,IEA,Energy Project,Dow Fort Saskatchewan ethylene facility (ALB),Canada,Dow Chemical,Capture,2021.0,,2029.0,,Planned,,,,Other industry,EOR,Alberta Carbon Trunk Line (ACTL)
72,427,IEA,Energy Project,Pincher Creek Carbon Sequestration Hub (ALB),Canada, West Lake Energy Corp.,Storage,2022.0,,,,Planned,,2.7,2.7,CO2 storage,Dedicated storage,Pincher Creek Carbon Sequestration Hub (ALB)
73,477,IEA,Energy Project,Quest (ALB),Canada,"Shell (60%), Marathon oil (20%), Chevron Canada (20%), CNRL",Full chain,2009.0,2012.0,2015.0,,Operational,,1.0,1.2,Other fuel transformation,Dedicated storage,
74,539,IEA,Energy Project,Tourmaline Clearwater CCUS (ALB),Canada, Tourmaline Oil Corp.,Storage,2022.0,,,,Planned,,10.0,10.0,CO2 storage,Dedicated storage,Tourmaline Clearwater CCUS (ALB)
75,281,IEA,Energy Project,Holcim Exshaw Plant,Canada,Holcim Group and partners,Full chain,2023.0,,2030.0,,Planned,,1.3,1.3,Cement,Dedicated storage,
76,39,IEA,Energy Project,Atlas Carbon Sequestration Hub Phase 2 (former Polaris Shell hub) (Alb),Canada,Shell,T&S,2021.0,,,,Planned,2.0,9.25,9.25,CO2 storage,Dedicated storage,Atlas Carbon Sequestration Hub
77,38,IEA,Energy Project,Atlas Carbon Sequestration Hub Phase 1 (former Polaris Shell hub) (ALB),Canada,"Shell Canada Limited, ATCO Energy Solutions, Suncor Energy",T&S,2021.0,2023.0,2025.0,,Planned,1.0,0.75,0.75,CO2 T&S,Dedicated storage,Atlas Carbon Sequestration Hub
78,37,IEA,Energy Project,Athabasca Leismer project (ALB),Canada,Entropy Inc,Capture,2022.0,2023.0,2024.0,,Planned,,0.164,0.164,Other fuel transformation,Unknown/unspecified,
79,426,IEA,Energy Project,Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),Canada,Pieridae Energy Ltd.,Full chain,2021.0,,,,Planned,2.0,2.0,2.0,Power and heat,Dedicated storage,
80,286,IEA,Energy Project,Horizon H2 capture tailings CCS (ALB),Canada,Canadian Natural Resources Ltd,CCU,,,2009.0,,Operational,,0.438,0.438,Other fuel transformation,Use,
81,388,IEA,Energy Project,North Drumheller Hub (ALB),Canada, Bison Low Carbon Ventures Inc. ,Storage,2022.0,,,,Planned,,3.0,3.0,CO2 storage,Dedicated storage,North Drumheller Hub (ALB)
82,306,IEA,Energy Project,Innovative Integration of Carbon Capture for Clean Power (ALB),Canada,Heartland Generation Ltd,Capture,2022.0,,,,Planned,,,,Power and heat,Unknown/unspecified,
83,280,IEA,Energy Project,Hinton Bioenergy CCS project (ALB),Canada," Vault 44.01 Ltd, West Fraser, TorchLight Bioresources",Capture,2022.0,,,,Planned,,1.3,1.3,Other industry,Unknown/unspecified,
84,22,IEA,Energy Project,Alberta Carbon Trunk Line (ACTL) (ALB),Canada,"Wolf Carbon Solutions (Wolf Midstream), Enhance energy",Transport,2011.0,2014.0,2020.0,,Operational,,14.6,14.6,CO2 transport,,Alberta Carbon Trunk Line (ACTL)
85,20,IEA,Energy Project,Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021.0,,,,Planned,,10.0,10.0,CO2 T&S,Dedicated storage,Alberta Carbon Grid (ALB)
86,558,IEA,Energy Project,WCS Redwater CO2 Recovery Unit (formerly nutrien) (ACTL) (ALB) phase 1,Canada,"Nutrien, ACTL",Capture,2011.0,2019.0,2019.0,,Operational,1.0,0.3,0.3,Other industry,EOR,Alberta Carbon Trunk Line (ACTL)
87,559,IEA,Energy Project,WCS Redwater CO2 Recovery Unit (formerly nutrien) (ACTL) (ALB) phase 2,Canada,Agrium Canada Partnership,Capture,2022.0,,,,Planned,2.0,,,Other industry,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL)
88,379,IEA,Energy Project,Nauticol and Enhance Energy blue methanol project (ALB),Canada,"Nauticol, Enhance Energy",Capture,2021.0,,2025.0,,Planned,,1.0,0.9,Other industry,EOR,Alberta Carbon Trunk Line (ACTL)
89,311,IEA,Energy Project,Itochu/Petronas ammonia project (ALB),Canada,"Itochu Corporation, Petronas Energy Canada Ltd",Full chain,2021.0,2023.0,2027.0,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
90,363,IEA,Energy Project,Merritt Electrofuels Project DAC (BC),Canada,"Huron Clean Energy , Oxy Low Carbon Ventures, Upper Nicola Band and Carbon Engineering ",CCU,2021.0,2023.0,2026.0,,Planned,,0.25,0.25,Direct Air Capture,Use,
91,358,IEA,Energy Project,Meadowbrook storage hub (ALB),Canada,"Bison Low Carbon Ventures , Enerflex, PrairieSky Royalty, IRC Enterprises",Storage,2022.0,,2025.0,,Planned,,3.0,3.0,CO2 storage,Dedicated storage,Meadowbrook storage hub (ALB)
92,357,IEA,Energy Project,Maskwa Project (ALB),Canada, Kiwetinohk Energy Corp.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Maskwa Project (ALB)
93,21,IEA,Energy Project,Alberta Carbon Grid (ALB) phase 2,Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021.0,,,,Planned,,10.0,10.0,CO2 T&S,Unknown/unspecified,Alberta Carbon Grid (ALB)
94,392,IEA,Energy Project,Northern America Edmonton Cement (ALB),Canada,"Heidelberg Materials (Lehigh Cement), Enbridge, Mitsubishi HI (feasibility)",Capture,2019.0,,2026.0,,Planned,,0.6,0.78,Cement,Dedicated storage, Open Access Wabamun Carbon Hub
95,36,IEA,Energy Project,Athabasca Banks Carbon Hub (ALB),Canada, Vault 44.01 Ltd. and Moraine Initiatives Ltd.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB)
96,68,IEA,Energy Project,Brazeau Carbon Sequestration Hub (ALB),Canada, Tidewater Midstream & Infrastructure Ltd.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Brazeau Carbon Sequestration Hub (ALB)
97,57,IEA,Energy Project,Blue but better (ALB) (Air Products Hydrogen Production and Liquefaction Facility),Canada,"Air Products, Baker Hughes",Capture,2021.0,2022.0,2024.0,,Under construction,,3.0,3.0,Hydrogen/ammonia,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL)
98,406,IEA,Energy Project,Open Access Wabamun Carbon Hub (ALB),Canada,"Enbridge, Capital Power, Lehigh Cement and  First Nation Capital Investment Partnership (FNCIP)",Storage,2022.0,,,,Planned,,4.0,4.0,CO2 T&S,Dedicated storage,Open Access Wabamun Carbon Hub
99,407,IEA,Energy Project,Origins Project (ALB),Canada,Enhance Energy,Storage,2022.0,,2024.0,,Planned,,20.0,20.0,CO2 storage,Dedicated storage,Origins Project
100,64,IEA,Energy Project,Boundary Dam CCS (SASK),Canada,Saskpower,Full chain,2008.0,2010.0,2014.0,,Operational,,1.0,1.0,Power and heat,EOR,
101,398,IEA,Energy Project,NWR CO2 Recovery Unit (Sturgeon Refinery) (ACTL) (ALB),Canada,Northwest Redwater Partnership,Capture,2011.0,2014.0,2020.0,,Operational,,1.3,1.3,Other fuel transformation,EOR,Alberta Carbon Trunk Line (ACTL)
102,405,IEA,Energy Project,Opal Carbon Hub (ALB),Canada, Kiwetinohk Energy Corp.,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Opal Carbon Hub (ALB)
103,402,IEA,Energy Project,Oil Sands CCUS Pathways to Net Zero (ALB) (T&S),Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",T&S,2022.0,,2030.0,,Planned,,10.0,12.0,CO2 T&S,Unknown/unspecified,Oil Sands CCUS Pathways to Net Zero
104,65,IEA,Energy Project,Bow River Hub (ALB),Canada, Inter Pipeline Ltd. and Entropy Inc. ,Storage,2022.0,,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,Bow River Hub (ALB)
105,49,IEA,Energy Project,Battle River Carbon Hub (ALB),Canada, Heartland Generation Ltd. ,Storage,2022.0,,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,Battle River Carbon Hub (ALB)
106,254,IEA,Energy Project,Greenview Region CCS Project (ALB),Canada, ARC Resources Ltd. ,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,Greenview Region CCS Project (ALB)
107,425,IEA,Energy Project,Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),Canada,Pieridae Energy Ltd.,Full chain,2021.0,,,,Planned,1.0,1.0,1.0,Power and heat,Dedicated storage,
108,401,IEA,Energy Project,Oil Sands CCUS Pathways to Net Zero (ALB) (14 facilities),Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",Capture,2022.0,,2030.0,,Planned,,10.0,12.0,Other fuel transformation,Unknown/unspecified,Oil Sands CCUS Pathways to Net Zero
109,269,IEA,Energy Project,Haru Oni HIF Chile eFuels Magallanes phase 1,Chile,"HIF, Porsche, Siemens Energy, Enel Green Power, Enap, Empresas Gasco, ExxconMobil, Global thermostat",CCU,2021.0,2023.0,2025.0,,Planned,1.0,0.23,0.23,Direct Air Capture,Use,
110,270,IEA,Energy Project,Haru Oni HIF Chile eFuels Magallanes phase 2,Chile,"HIF, Porsche, Siemens Energy, Enel Green Power, Enap, Empresas Gasco, ExxconMobil, Global thermostat",CCU,2021.0,,2026.0,,Planned,2.0,1.3,1.3,Direct Air Capture,Use,
111,528,IEA,Energy Project,Taiwan Cement Hoping/Heping plant,Chinese Taipei,Taiwan cement,Capture,2019.0,,2030.0,,Planned,1.0,0.1,0.1,Cement,Use,
112,282,IEA,Energy Project,Holcim Koromacno Plant,Croatia,Holcim Group,Capture,2023.0,,2027.0,,Planned,,0.4,0.4,Cement,Dedicated storage,Geothermal CCS Croatia
113,229,IEA,Energy Project,Geothermal CCS Croatia,Croatia,Hydrocarbons Agency Croatia,T&S,2022.0,2025.0,2031.0,,Planned,,0.63,0.63,CO2 T&S,Dedicated storage,Geothermal CCS Croatia
114,434,IEA,Energy Project,Port of Aalborg terminal and pipeline to Fyrkat,Denmark,Capio Danmark,Transport,2022.0,,2026.0,,Planned,,4.0,4.0,CO2 transport,,NORNE
115,435,IEA,Energy Project,Port of Kalundborg terminal and pipeline to Trelleborg phase 1,Denmark,Capio Danmark,Transport,2022.0,,2026.0,,Planned,1.0,4.0,4.0,CO2 transport,,NORNE
116,436,IEA,Energy Project,Port of Kalundborg terminal and pipeline to Trelleborg phase 2,Denmark,Capio Danmark,Transport,2022.0,,2030.0,,Planned,2.0,8.0,8.0,CO2 transport,,NORNE
117,122,IEA,Energy Project,ClimAid Copenhagen Malmö Port Amager Bakke CO2 capture,Denmark,"Babcock & Wilcox, Copenhagen Port",Full chain,2020.0,,2025.0,,Planned,,0.5,0.5,Power and heat,Dedicated storage,
118,448,IEA,Energy Project,Project Bifrost Phase 2,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021.0,,2032.0,,Planned,2.0,10.0,10.0,CO2 T&S,Dedicated storage,Project Bifrost
